lyrics;emotion
"Always on my mind 난 자꾸 네가 떠오르곤 해";"0"
"알고 싶은 게 많아 너에 대해서";"2"
"넌 지금 누굴 생각하고 있어";"0"
"가볍게 던지는 말들에 의미부여하고";"2"
"괜히 혼자 설레서 또 아무 말 못 하고";"2"
"날 가지고 놀아 또 들었다 놨다";"3"
"Make me feel so right oh 네 곁에 있고 싶어";"1"
"특별하고 싶어 365일 내가 네 자랑이고 싶어";"1"
"You're always on my mind But nothin's gonna matter if you never hit the room yeah";"4"
"Girl I'll be waiting for you";"1"
"Feels like I'm the one yeah Got me trippin' on your mind yeah";"1"
"I'm feeling butterflies with your smile";"2"
"Feels like I'm the one yeah Girl I would never let you down";"1"
"Babe all the things you do just got me Swimmin' in your eyes yeah";"1"
"Oh Roa Roa Roa I could be the one to love ya love ya love ya";"1"
"Oh Roa Roa Roa Know you're feeling it girl Don't lie don't lie don't lie";"6"
"Roa 내게 말해줘 너도 같은 생각 한다고";"0"
"너와 내가 밤새껏 주고받던 말이 진심이라고";"1"
"너의 눈빛에 나오지 못해 나를 닮은 듯한 그런 느낌의 fashion에 또 배여있어";"2"
"네 귀여운 행동에 빠져버렸어";"1, 2"
"너 없인 모두 무채색 널 만나면 마치 강아지처럼 기분이 들떠 있지";"1"
"시키는 대로 다 해줄게 원한다면 교육해도 돼 주입식";"1"
"Need you on my side 내 옆으로 와 숨기지 못할 것 같아 더 이상 또 어린애 같아";"1"
"내 손을 꽉 잡아줘 Falling for you girl would you let me";"1"
"Be your sweet Now baby tell me 어떤지 Baby";"질문"
"Feel like I'm the one 이제 그만 내게 다가와 줄래 babe 더 사랑해 줄게";"1"
"Feels like I'm the one yeah Got me trippin' on your mind yeah";"1"
"I'm feeling butterflies with your smile";"2"
"Feels like I'm the one yeah Girl I would never let you down";"1"
"Babe all the things you do just got me Swimmin' in your eyes yeah";"1"
"Oh Roa Roa Roa I could be the one to love ya love ya love ya";"1"
"Oh Roa Roa Roa Know you're feeling it girl Don't lie don't lie don't lie";"6"
